obs,low        (fiat),high      (fiat),open      (fiat),close     (fiat),vol      (fiat),trade_vol  (fiat),low (crypto),high (crypto),open (crypto),close (crypto),vol (crypto),trade_vol (crypto),
114,106.291,113.001,110.007,107.439,13862.86191,1489412.02,0.01231,0.01294876,0.01261689,0.01240991,2354.47674,29.21884444,
115,97.645,107.441,107.441,102.228,20988.95734,2145659.131,0.01178115,0.01245105,0.01242998,0.01224992,2355.560764,28.85543091,
116,93.034,104.002,102.617,100.4,17303.4084,1737262.204,0.01130002,0.01232134,0.01224992,0.01191391,2494.153325,29.71511824,
117,97.091,104,100.25,101.5,9558.917724,970230.149,0.01171702,0.0123619,0.01187705,0.01221682,1186.701115,14.49771392,
118,100.137,112.931,101.5,111.527,27211.93006,3034864.924,0.01208017,0.013224,0.01215883,0.0129154,4296.738584,55.49409751,
119,111.101,125,111.101,112.802,47607.08435,5370174.329,0.01257412,0.0141,0.01293473,0.01268711,7012.045389,88.96259117,
120,110.767,117.326,112.602,116.096,17669.77494,2051390.191,0.0122992,0.01293757,0.01265443,0.01229931,3651.231118,44.9076234,
121,114.382,128.208,115.667,121.141,32171.81576,3897325.934,0.01220371,0.01371122,0.0123494,0.01308099,7179.828608,93.91926622,
122,117.221,125.528,122.001,122.283,23473.78652,2870445.037,0.01281837,0.01340339,0.01308155,0.01282121,3494.129086,44.79896277,
123,112.816,124.5,122.166,116.084,17452.89215,2026001.532,0.01227236,0.0131355,0.01289212,0.01239378,3548.781147,43.9828128,
124,114.58,119.5,116.084,116.268,11783.34146,1370025.545,0.01227789,0.01264701,0.01233153,0.01247266,626.1332982,7.809547743,
125,112.114,117.399,116.482,114.013,14128.54555,1610837.864,0.01217333,0.01247626,0.01244731,0.01224181,1707.195646,20.89916473,
126,113.703,117.314,114,115.042,7956.254286,915303.4056,0.0121783,0.01249999,0.01224072,0.0124204,1056.506511,13.12223347,
127,108.042,116,115.016,110.362,12746.13618,1406689.081,0.01185354,0.0124204,0.0124204,0.01206868,1861.656269,22.46773378,
128,109.615,124.417,110.363,122.996,20936.69671,2575129.949,0.01195012,0.01312779,0.01204326,0.01276151,3762.139416,48.01057978,
129,118.101,124.1,123,120.032,16346.66648,1962123.071,0.01204656,0.01293754,0.01277466,0.01231098,2514.234538,30.95269111,
130,117.226,122.782,120.032,118.568,11860.37765,1406261.257,0.01205079,0.0124999,0.0122506,0.01208299,1479.089841,17.87182775,
131,111.991,131.978,118.7,126.1,46142.10351,5818519.253,0.01159587,0.01334481,0.01210153,0.01274771,6309.05076,80.42594946,
132,124.069,130.797,126.497,128.359,15976.0612,2050671.24,0.01238916,0.01305141,0.01276415,0.01265752,3733.045481,47.25109784,
133,123.4,128.952,128.358,127.681,15248.68418,1946967.244,0.01240486,0.01305,0.01260441,0.01296512,2838.085653,36.79612106,
134,123.786,133.543,127.654,129.701,22498.70062,2918103.969,0.01250408,0.01298447,0.01291993,0.01262886,2979.430702,37.62681321,
135,129.601,137.909,130.017,133.858,17171.25958,2298510.465,0.01255012,0.01319997,0.0126289,0.01289822,3696.267768,47.67527485,
136,126.741,137.75,133.598,130.885,17309.43872,2265545.887,0.0125571,0.01312834,0.0128977,0.01281402,2543.848333,32.59692342,
137,128.185,134.45,130.853,133.246,9997.783695,1332164.686,0.01260267,0.013,0.01279557,0.01284411,2130.914207,27.36969647,
138,115.571,133.713,133.454,120.805,15020.37105,1814535.924,0.01160578,0.01289141,0.0128438,0.01214759,3598.154182,43.70890176,
139,99.79,124.386,120.8,111.39,16488.07411,1836606.575,0.01040349,0.01232605,0.01217734,0.01119579,3241.338706,36.28934747,
140,101.608,116.95,111.261,114.995,15864.90217,1824384.425,0.0105002,0.01206343,0.01120598,0.01183356,4331.557075,51.25774054,
141,107.056,118,115,116.049,13852.38588,1607555.529,0.01119241,0.01188458,0.01184752,0.01138657,2468.942319,28.11278454,
142,104,116.091,115.782,104.575,16940.14707,1771515.88,0.01084302,0.01137917,0.0113675,0.01093772,2757.691761,30.16286032,
143,100,107.03,104.528,105.334,13893.04781,1463410.299,0.01052108,0.01115713,0.01093761,0.0108593,3065.298181,33.28699254,
144,103.193,110.273,105.031,107.807,8926.41161,962329.6565,0.0107436,0.01126855,0.01091549,0.01112875,1949.83895,21.69927022,
145,102.697,110,107.681,104.247,9067.854945,945296.6744,0.01067778,0.01128535,0.01111,0.01076228,1059.212467,11.39954115,
146,103.732,110.61,104.203,108.312,10438.74152,1130640.972,0.0107116,0.01102697,0.01078114,0.01083786,1585.502325,17.18345223,
147,99.541,109.27,108.102,103.542,8666.992523,897397.7398,0.01047733,0.01093351,0.01083786,0.01070785,1623.704923,17.38638876,
148,94.01,103.791,103.787,95.494,12301.25706,1174696.242,0.010149,0.01071811,0.01070786,0.01025547,2959.052203,30.3464711,
149,80,96.713,95.386,84.555,27537.23875,2328411.222,0.00913591,0.01031667,0.01025545,0.00961684,6080.495197,58.47514943,
150,80.01,97.52,84.154,89.205,24848.40102,2216601.613,0.00930782,0.01061859,0.00958603,0.01020039,3693.907782,37.6793,
151,83.001,92.812,89.562,88.462,14457.87011,1278972.106,0.009698,0.0105164,0.0101282,0.01009739,1748.751241,17.65782329,
152,85.171,90.444,88.619,85.402,6153.919077,525556.997,0.00995546,0.01029845,0.01010126,0.00998577,865.1864395,8.639552792,
153,83.047,89.745,85.468,84.458,8107.138927,684712.7395,0.00984493,0.01038674,0.01001727,0.00990754,1505.656305,14.91735007,
154,83.974,92.776,84.21,90.403,11414.86938,1031938.436,0.0098101,0.01038065,0.00991718,0.01010018,1871.89326,18.90645887,
155,86.923,90.836,89.932,88.786,5479.639168,486515.2432,0.01000603,0.01019538,0.01009554,0.01013112,1250.428431,12.66824049,
156,85.443,90.097,88.934,86.832,5269.498599,457561.1024,0.009837,0.01019999,0.01012373,0.00992222,659.0282849,6.539023629,
